pizza_id,order_id,size_id,unit_price,quantity
1,6,3,12.75,1
1,11,1,20.75,1
1,17,1,20.75,1
1,24,2,16.75,1
1,27,1,20.75,1
1,33,1,20.75,1
1,36,2,16.75,1
1,51,1,20.75,1
1,61,2,16.75,1
1,62,2,16.75,1
1,69,1,20.75,1
1,77,2,16.75,1
1,91,1,20.75,2
1,92,2,16.75,1
1,102,3,12.75,1
1,104,2,16.75,1
1,121,2,16.75,1
1,124,3,12.75,1
1,133,1,20.75,1
1,144,2,16.75,3
1,167,1,20.75,1
1,190,1,20.75,1
1,194,3,12.75,1
1,195,1,20.75,1
1,208,1,20.75,1
1,208,3,12.75,1
1,216,2,16.75,1
1,219,1,20.75,1
1,225,1,20.75,1
1,225,2,16.75,1
1,227,2,16.75,1
1,232,2,16.75,1
1,245,1,20.75,1
1,249,1,20.75,1
1,254,1,20.75,1
1,291,1,20.75,1
1,294,2,16.75,1
1,341,2,16.75,1
1,353,1,20.75,1
1,360,1,20.75,1
1,362,2,16.75,1
1,387,3,12.75,1
1,388,3,12.75,1
1,399,2,16.75,1
1,403,3,12.75,1
1,419,1,20.75,1
1,421,1,20.75,1
1,437,2,16.75,1
1,452,2,16.75,1
1,463,1,20.75,1
1,464,1,20.75,1
1,469,2,16.75,1
1,483,1,20.75,1
1,522,3,12.75,1
1,542,1,20.75,1
1,555,3,12.75,1
1,567,1,20.75,1
1,569,3,12.75,1
1,578,3,12.75,1
1,601,1,20.75,1
1,607,2,16.75,1
1,620,1,20.75,1
1,645,2,16.75,1
1,651,3,12.75,1
1,657,2,16.75,1
1,660,3,12.75,1
1,662,1,20.75,1
1,665,2,16.75,1
1,691,1,20.75,1
1,693,1,20.75,1
1,702,3,12.75,1
1,707,2,16.75,1
1,709,3,12.75,1
1,717,2,16.75,1
1,719,1,20.75,1
1,723,1,20.75,1
1,737,2,16.75,1
1,742,1,20.75,1
1,745,1,20.75,1
1,755,2,16.75,1
1,775,1,20.75,1
1,777,1,20.75,1
1,801,2,16.75,1
1,806,1,20.75,1
1,819,2,16.75,1
1,823,2,16.75,1
1,835,1,20.75,1
1,835,3,12.75,1
1,851,1,20.75,1
1,889,1,20.75,1
1,895,1,20.75,1
1,904,2,16.75,1
1,905,2,16.75,1
1,909,1,20.75,1
1,911,3,12.75,1
1,915,2,16.75,1
1,920,2,16.75,1
1,931,1,20.75,1
1,942,2,16.75,1
1,945,1,20.75,1
1,953,3,12.75,1
1,961,3,12.75,1
1,978,3,12.75,1
1,981,1,20.75,1
1,987,1,20.75,1
1,993,2,16.75,1
1,1002,2,16.75,1
1,1005,1,20.75,1
1,1018,1,20.75,1
1,1020,1,20.75,1
1,1020,3,12.75,1
1,1021,1,20.75,1
1,1024,1,20.75,1
1,1032,1,20.75,1
1,1034,2,16.75,1
1,1047,3,12.75,1
1,1049,1,20.75,1
1,1054,2,16.75,1
1,1056,2,16.75,1
1,1059,2,16.75,1
1,1065,2,16.75,1
1,1070,2,16.75,1
1,1086,3,12.75,1
1,1090,1,20.75,1
1,1092,1,20.75,1
1,1097,1,20.75,1
1,1123,2,16.75,1
1,1170,2,16.75,1
1,1182,2,16.75,1
1,1189,2,16.75,1
1,1214,2,16.75,1
1,1216,2,16.75,1
1,1241,1,20.75,1
1,1244,3,12.75,1
1,1259,3,12.75,1
1,1265,2,16.75,1
1,1266,2,16.75,1
1,1274,2,16.75,1
1,1274,3,12.75,1
1,1278,1,20.75,1
1,1289,1,20.75,1
1,1290,2,16.75,1
1,1301,3,12.75,1
1,1328,3,12.75,1
1,1347,2,16.75,1
1,1353,2,16.75,1
1,1362,3,12.75,1
1,1364,1,20.75,1
1,1368,3,12.75,1
1,1371,3,12.75,1
1,1375,1,20.75,1
1,1375,2,16.75,1
1,1378,2,16.75,1
1,1386,1,20.75,1
1,1393,2,16.75,1
1,1405,3,12.75,1
1,1437,3,12.75,1
1,1450,1,20.75,1
1,1450,2,16.75,1
1,1456,1,20.75,1
1,1457,3,12.75,1
1,1464,1,20.75,1
1,1467,1,20.75,1
1,1468,2,16.75,1
1,1470,1,20.75,1
1,1476,2,16.75,1
1,1492,1,20.75,1
1,1533,1,20.75,1
1,1535,2,16.75,1
1,1565,1,20.75,1
1,1569,1,20.75,2
1,1571,2,16.75,1
1,1574,1,20.75,1
1,1619,1,20.75,1
1,1627,1,20.75,1
1,1637,1,20.75,1
1,1639,1,20.75,2
1,1644,1,20.75,1
1,1644,2,16.75,1
1,1646,1,20.75,1
